geneid	Genomic	RNA1	RNA2	H3K4me3	H3K36me3	H3K56ac	H3K27me3	H3K9me2	ATAC	Promoter_ATAC	Promoter_H3K4me3	Promoter_H3K36me3	Promoter_H3K56ac	Promoter_H3K27me3	Promoter_H3K9me2	UP_ATAC	UP_H3K4me3	UP_H3K36me3	UP_H3K56ac	UP_H3K27me3	UP_H3K9me2	DOWN_ATAC	DOWN_H3K4me3	DOWN_H3K36me3	DOWN_H3K56ac	DOWN_H3K27me3	DOWN_H3K9me2	DOWN_ATAC_cov	UP_ATAC_cov	ATAC_cov	Promoter_ATAC_cov	DOWN_Meth_cov	UP_Meth_cov	Promoter_Meth_cov	Meth_cov	DOWN_Genomic_cov	UP_Genomic_cov	Genomic_cov	Promoter_Genomic_cov	DOWN_H3K27me3_cov	UP_H3K27me3_cov	H3K27me3_cov	Promoter_H3K27me3_cov	DOWN_H3K36me3_cov	UP_H3K36me3_cov	H3K36me3_cov	Promoter_H3K36me3_cov	DOWN_H3K4me3_cov	UP_H3K4me3_cov	H3K4me3_cov	Promoter_H3K4me3_cov	DOWN_H3K56ac_cov	UP_H3K56ac_cov	H3K56ac_cov	Promoter_H3K56ac_cov	DOWN_H3K9me2_cov	UP_H3K9me2_cov	H3K9me2_cov	Promoter_H3K9me2_cov	RNA1_cov	RNA2_cov	gene_body_meth	promoter_meth	UP_meth	DOWN_meth	HAP1_promoter_del	HAP2_promoter_del	dn_ds_hap1	dn_ds_hap2	RNA_BOTH	RNA_cov_both
FAIR_006083-T1	-0.0142138592196996	-0.350497247084133	-0.701208403910572	0.179978666106235	0.0110551885089958	-0.648527629498622	-0.47916783669856	-0.700439718141092	0.124282335886601	-0.304854581528422	-0.192645077942396	-0.678071905112638	-2.11547721741994	-2	0.289506617194985	NA	NA	NA	NA	NA	NA	-0.114559764262856	-0.502500340529183	0.540568381362703	0.222392421336448	0	NA	4.61882595258744	NA	3.95791459863299	2.47508488294878	-3.18840009580244	NA	-2.99939450678425	-3.94135898315396	4.3037807481771	NA	4.73606362787181	4.86492897228979	0.27500704749987	NA	1.38404980679516	0.575312330687437	1.59931779369823	NA	2.75488750216347	1.65992455840238	1.70043971814109	NA	2.8972404255748	1.57531233068744	1.16349873228288	NA	1.60880924267552	1.18903382439002	0.6959938131099	NA	0.992768430768924	1.29865831556452	5.34904692306849	5.28791593044116	0.864344900642434	1.12810482574769	NA	0.392317422778761	0	0	0	0.807354922057604	-0.525852825497353	5.31848142675483
FAIR_006090-T1	-0.113867964558278	-1.01637582895384	-1.37064337992039	-0.0627357553479619	-0.210896782498619	-0.0703893278913981	-0.283792966000591	-0.182864057149811	0.108934371553165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.40053792958373	2.78031009904338	NA	NA	-2.13117029716651	-3.64803961442228	NA	NA	4.5298209465287	4.18745105402733	NA	NA	0.985500430304885	0.613531652917927	NA	NA	3.10768786931437	1.8073549220576	NA	NA	3.30012372456901	2.19219416528334	NA	NA	2.09085343045111	1.61823865559545	NA	NA	1.15055967657538	0.782408564927373	3.66805488471805	3.84445137382652	0.15200309344505	-1	NA	NA	0	1	-1	0.106915203916512	-1.19350960443712	3.75625312927228
FAIR_006093-T1	-0.00971515483321106	-1.23095443483987	-1.30146399232765	1.05444778402238	-1.73696559416621	1.09953567355091	1.32192809488736	2.58496250072116	0.115477217419936	1.20163386116965	0.584962500721157	0	0.584962500721156	1	3.16992500144231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.17791779219584	2.21101219348551	NA	NA	-3.34970798953099	-2.92711867004577	NA	NA	5.24184018356467	4.07382023329167	NA	NA	0.831877241191673	0.66902676550963	NA	NA	1.49569516262407	1.0703893278914	NA	NA	2.02856915219677	1.43295940727611	NA	NA	1.48542682717024	1.13750352374994	NA	NA	1.09085343045111	0.748461233004036	3.90405422445094	3.92842213636747	0.137503523749935	1.46566357234881	NA	NA	0	0	NA	NA	-1.26620921358376	3.9162381804092
FAIR_006094-T1	0.182864057149811	0.0179219079972617	-0.0744248411265547	0.436099114806674	-0.111031312388744	1.07800251200127	-2	-1.70043971814109	0.415037499278843	-0.556393348524385	-0.84799690655495	-2.32192809488736	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.32192809488736	3.51601514700366	NA	NA	-1.70692351547312	-2.62409871660163	NA	NA	4.74308405554959	4.44890095114513	NA	NA	0.604071323668861	0.941106310946431	NA	NA	2.16671544496642	0.831877241191673	NA	NA	2.36457243229586	1.04264433740849	NA	NA	1.53106949272595	1.14404636961671	NA	NA	0.66902676550963	1.04264433740849	5.53788626800866	5.49428386516622	NA	NA	NA	NA	0	1	NA	NA	-0.0282514665646465	5.51608506658744
FAIR_006102-T1	-0.139634536014631	-0.685891409571937	-0.461447964235802	-0.403355694231209	0.299560281858907	-0.646363045385299	0.415037499278844	0.777607578663552	0.121463512485667	0.610053481683987	0.807354922057605	0.84799690655495	0.584962500721156	2.32192809488736	-0.584962500721156	NA	NA	NA	NA	NA	NA	-0.0780025120012731	0.84799690655495	-0.584962500721156	-1	1	-1	5.07767027423275	NA	3.61588707391606	3.5385381636298	-2.70905548214415	NA	-3.8530030006687	-3.36951820891827	5.20124177119825	NA	4.56742375770728	3.92124588858559	1.4594316186373	NA	1.08406426478847	0.782408564927373	1.50589092972996	NA	2.99276843076892	3.02680005934372	1.68706068833989	NA	2.97819562968165	3.30451104180995	1.55581615506164	NA	1.77399632511117	2.64616265715789	1.11769504266975	NA	1.11769504266975	0.985500430304885	3.52398357302466	3.51403795879374	-0.700439718141093	0.807354922057604	NA	0	0	0	1	0	-0.57366968690387	3.5190107659092
FAIR_006108-T1	-0.132616438137138	-0.159000039376034	-0.26052755022322	-0.130629442652484	-0.0439433475875983	-0.693338661765948	0.90484276695966	-0.338168735894573	-0.111814003329352	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.83390207666916	1.66448284036468	NA	NA	-1.89680762566432	-2.68752115754357	NA	NA	4.12928301694497	3.46597446450407	NA	NA	1.11103131238874	0.454175893185802	NA	NA	2.63226821549951	0.992768430768924	NA	NA	2.53605290024021	0.704871964456353	NA	NA	1.55581615506164	0.516015147003665	NA	NA	1.0703893278914	0.53605290024021	4.43862312666952	4.46800182076853	-0.0780025120012731	NA	NA	NA	0	0	0.222392421336448	0.584962500721156	-0.209763794799627	4.45331247371903
FAIR_006109-T1	0.535758502720387	-0.722586454793035	-0.417332957266504	0.192645077942396	-0.15200309344505	-1.0703893278914	0.823122237915921	-1.3536369546147	0.110423989693651	0.135883428081773	-1.40209844357135	-1.58496250072116	-0.584962500721157	0.584962500721156	-1.87446911791614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.37573453858316	3.01256867350306	NA	NA	-3.38031985012702	-1.83752370902007	NA	NA	4.2149019101607	4.21878116778407	NA	NA	1.31614574229336	1.06350294230616	NA	NA	1.77820857639809	1.33913738491959	NA	NA	1.89530262133331	1.6507645591169	NA	NA	1.66448284036468	1.89141918684608	NA	NA	1.35614381022528	0.871843648509318	4.88209354773122	4.74105571163811	-0.208317236124725	0.898120385980786	NA	NA	0	0	0.321928094887362	1.58496250072116	-0.56995970602977	4.81157462968467
FAIR_006112-T1	0.463536016970034	-1.21142855362181	-1.60137025724277	-0.271673324107666	1.47393118833241	-0.381870635343645	-0.0289998717225517	0.476438043942987	0.332575339086871	-0.630766190334281	-0.408084738637077	0.383328639551506	-0.700439718141092	0.0931094043914813	-1.73696559416621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.15380533607904	1.83592407425437	NA	NA	-3.21707118264322	-4.60697188679589	NA	NA	4.20789285164133	3.41006969175638	NA	NA	3.20163386116965	2.799087306074	NA	NA	1.24488705912353	1.27500704749987	NA	NA	2.63459326844576	2.24488705912353	NA	NA	1.40053792958373	1.0496307677246	NA	NA	1.20163386116965	0.863938450423971	5.06786386397029	5.11955514153285	0.234465253637024	2.05444778402238	NA	NA	0	0	-1	3	-1.40639940543229	5.09370950275157
FAIR_006115-T1	0.185389261939598	0.303616216610422	0.470250841844463	0.496675968303201	-0.342601663152112	-0.0458036896131251	-0.0780025120012731	0.506959988719883	-0.188072348152572	-0.704544116473829	-0.868755466721748	-0.378511623253729	-0.206450877467427	-0.222392421336448	2.8073549220576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.21567859660793	2.95419631038688	NA	NA	-2.8195597124334	-3.51313421842885	NA	NA	4.90062533253607	3.60762622084549	NA	NA	1.15055967657538	1.20789285164133	NA	NA	3.09761079662642	2.49569516262407	NA	NA	2.790772037862	2.6667565918848	NA	NA	1.67355642399014	1.89530262133331	NA	NA	1.36176835941915	0.815575428862573	5.46903725896882	5.41495889361254	0.0901978089715785	0.381870635343645	NA	NA	0	0	-0.584962500721156	2.58496250072116	0.386933529227442	5.44199807629068
FAIR_006116-T1	0.0835406955427036	0.293006485584852	0.484657594925471	-0.0947782247521003	0.241554678423342	0	-0.403355694231209	0.81942775435818	-0.0925121387895382	0.222392421336448	0.697437229979569	-0.540568381362703	-0.62148837674627	0.584962500721156	0.584962500721156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.90496571868403	3.10433665981474	NA	NA	-5.31984048795196	-2.63655277536702	NA	NA	4.25625587320273	4.98550043030489	NA	NA	1.15704371014558	1.22032995487956	NA	NA	3.04614178164472	4.08576455377831	NA	NA	2.60880924267552	4.05918219921169	NA	NA	1.48542682717024	2.55336050333533	NA	NA	0.879705766282288	1.16992500144231	3.97032177957365	3.98013314344413	-0.399872863285959	1.13750352374994	NA	NA	0	0	-1.58496250072116	-0.415037499278844	0.388832040255162	3.97522746150889
FAIR_006118-T1	-0.199564491882187	-0.0146044129087723	0.0183085584129383	0.00620514952670792	-0.113604108506859	-0.267933205246633	-0.435215381216474	-0.29373120305671	0.169094195176399	0.368644593794392	0.584962500721156	-0.280107919192735	0.211504105193712	0.106915203916512	-0.289506617194985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.13257684267001	3.30012372456901	NA	NA	-3.24920966156643	-3.59640597240392	NA	NA	4.60407132366886	4.14893410452634	NA	NA	1.17632277264046	1.16349873228288	NA	NA	3.09254574154357	1.77399632511117	NA	NA	2.21723071622067	1.6959938131099	NA	NA	1.39506279951758	1.34482849699744	NA	NA	1.11769504266975	1.0071955014042	4.3399221887719	4.3190522342267	-0.168122758808327	0.366782330671623	NA	NA	0	0	0.415037499278844	-0.263034405833794	0.00185207275208299	4.3294872114993
FAIR_006121-T1	-0.114603121639856	0.382857093529694	0.558939709570254	-0.199308808223407	0.0443941193584534	-0.0524674198941355	0.0671141958585366	-0.234465253637024	0.048363021561399	0.396658969963989	0.192645077942396	-2	1.13750352374994	3	-1.41503749927884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.25247621413522	3.51222688651396	NA	NA	-2.42126722061932	-2.73744246707446	NA	NA	4.39163026151743	4.25171909260596	NA	NA	1.25701061820602	0.948600847493356	NA	NA	3.41006969175638	1.62293035092018	NA	NA	2.95977015521147	2.02856915219677	NA	NA	1.77399632511117	1.81966818349646	NA	NA	1.02147972741045	0.823749360308273	5.91125965844946	6.00926938440247	-0.292781749227846	0.0931094043914813	NA	NA	0	0	0	-1.58496250072116	0.470898401549974	5.96026452142597
FAIR_006138-T1	-0.359996135720882	-1.09746580943562	-1.29496104728709	0.273451021779133	0.101879614019214	0.32862274746137	0	0.341036917835067	-0.176549391753564	-0.0414921289184633	0.415037499278844	-0.263034405833794	-1.48542682717024	1	1	-0.128448365466154	0.887525270741587	-0.0780025120012731	-0.415037499278844	0.459431618637297	0.874469117916141	-0.0947782247521012	0.570315724756755	-0.443606651475615	-0.0418201756946273	0.523561956057013	1.4594316186373	4.36985202678431	5.02280994463238	4.01346225980656	5.28095631383106	-3.04062092405146	-2.7963343806715	-7.62049219670921	-3.62540722495969	3.56489441055194	3.73974463548928	4.35895882583233	3.65878273401283	0.569436046712366	0.567767434880595	1.21412480535285	0.918386234446348	0.882375223759969	1.20059677553163	2.52105073690096	1.09761079662642	1.07357176958765	1.65079382330159	3.84799690655495	1.1243281350022	0.879476262437896	0.808178848498345	2.35614381022528	0.903038270112912	0.543473688986211	0.642967403971936	1.05658352836637	0.464668267003444	4.6750619265765	4.68872477511095	-0.263034405833794	0	-1.1926450779424	-0.514573172829758	0	0	-1	0.807354922057604	-1.19621342836136	4.68189335084372
FAIR_006149-T1	-0.884522782580064	-1.02763111897719	-1.13712981696352	0.475338009546658	-0.506959988719883	-0.584962500721156	0	-0.263034405833794	0.0227200765000832	0.584962500721156	0.250543461650597	0.314873337353411	0.347923303420307	-1.58496250072116	0.584962500721156	0.353336799606672	0.0246620542342697	0.321928094887362	0.148098638989134	2.16992500144231	-0.514573172829758	NA	NA	NA	NA	NA	NA	NA	4.37781785308364	4.0071955014042	3.99367436175058	NA	-4.55227237303029	-8.28564642597036	-1.87886243492568	NA	3.94485844580754	4.26978123827438	4.06608919045777	NA	0.454175893185802	1.23266075679027	1.13750352374994	NA	2.01792190799726	2.790772037862	3.59931779369823	NA	2.54101915313356	3.611172380044	3.93451650158608	NA	2.66902676550963	0.956056652412403	3.10097764772482	NA	0.748461233004036	0.807354922057604	0.650764559116902	8.47515392119421	8.4992938573155	-0.628031222613042	1	1.18762700317577	NA	0	0	1.32192809488736	2	-1.08238046797035	8.48722388925485
FAIR_006154-T1	-0.115820757138405	-0.341575337337822	-0.531381460516313	-0.398549376490275	-0.18344614109593	0.356143810225276	0.144389909335175	-1.3536369546147	-0.105610187960599	-0.0331668639351994	0.52674788677586	-0.461904104316819	-0.383328639551506	-1	0.514573172829758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.10265813136374	3.33771109212829	NA	NA	-3.49288463389552	-3.31589734447236	NA	NA	4.9429835981871	4.40803246613065	NA	NA	1.1243281350022	0.807354922057604	NA	NA	4.0232553523003	2.75915583380027	NA	NA	3.67919857056692	2.93545974780529	NA	NA	1.59454854955035	1.95233356636969	NA	NA	1.20163386116965	0.815575428862573	5.58269558234554	5.49261730043921	-0.64045761331286	0.700439718141093	NA	NA	0	0	0.736965594166206	0.222392421336448	-0.436478398927068	5.53765644139237
FAIR_006155-T1	0.0456891612230557	-0.344445531448789	-0.153696539650426	-0.110828130212379	-0.131244533278252	-0.120294233717711	0.164386817900882	-0.211504105193712	-0.300704823799848	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.05658352836637	2.57046293102604	NA	NA	-5.30489605415137	-3.6482607302729	NA	NA	4.62293035092018	3.98641093525204	NA	NA	0.992768430768924	0.815575428862573	NA	NA	3.16510798514454	1.18269229751619	NA	NA	2.47248777146274	1.24488705912353	NA	NA	1.42223300068305	0.678071905112638	NA	NA	1.19534759832222	0.613531652917927	4.31917152786546	4.21330985018418	0.170643654030467	NA	NA	NA	0	1	0.736965594166206	1.41503749927884	-0.249071035549608	4.26624068902482
FAIR_006160-T1	-0.0284004258015269	1.82759571449523	1.44930740136359	-0.302562770020431	-0.350497247084133	-0.430634354329862	0.436099114806674	-0.788495894806288	0.290677160902923	0.156119201917282	2.09953567355091	0.415037499278844	-1.32192809488736	-0.263034405833794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.38404980679516	1.97452931248388	NA	NA	-1.79948408582014	-3.49140298717951	NA	NA	5.02547181462118	3.65306001710456	NA	NA	0.773996325111173	0.66902676550963	NA	NA	1.94485844580754	1.48026512205446	NA	NA	1.790772037862	1.18269229751619	NA	NA	1.48542682717024	0.66902676550963	NA	NA	0.903038270112912	0.37851162325373	4.64661139774629	4.57300402599784	0.31194400631474	-2.58496250072116	NA	NA	0	0	0	1	1.63845155792941	4.60980771187207
FAIR_006163-T1	-0.138976413148809	1.77444029958487	1.83487935069313	-0.502500340529183	-0.485426827170242	-0.637429920615292	-0.678071905112638	-0.637429920615292	0.0771678605224597	-0.222392421336449	0.251538766995964	0.18057224564182	0	-1.29545588352617	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.97085365434048	1.94860084749336	NA	NA	-3.00811320813937	-3.7260990443147	NA	NA	4.67581593117227	3.8094144442359	NA	NA	0.839959587489532	0.978195629681652	NA	NA	1.23266075679027	1.49569516262407	NA	NA	1.60407132366886	1.13750352374994	NA	NA	1.31614574229336	0.584962500721156	NA	NA	0.925999418556223	0.443606651475615	4.85028669821	4.81326497567833	3.95419631038687	1	NA	NA	0	0	-2	-1.58496250072116	1.804659825139	4.83177583694417
FAIR_006164-T1	-0.228531558433856	2.52356195605701	2.16683902156857	-0.0836579290469102	0.281412935148649	0.526068811667588	-0.83650126771712	0.473931188332412	0.224706287174694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.40053792958373	2.30451104180995	NA	NA	-1.57995168503315	-4.81202415285887	NA	NA	4.17712050284652	4.27724089833207	NA	NA	0.978195629681652	0.55581615506164	NA	NA	1.9297909977186	1.23266075679027	NA	NA	1.85996954822103	0.704871964456353	NA	NA	1.21412480535285	0.613531652917927	NA	NA	0.823749360308273	0.650764559116902	4.30440691727967	4.09379986065806	-0.356143810225276	NA	NA	NA	0	0	0	0	2.34520048881279	4.19910338896887
